quad,detID,pixID,count,frac_counts
1, 0, 245, 28913, 0.132
1, 1, 255, 150289, 0.623
1, 2, 255, 442, 0.623
1, 3, 255, 0, 0.623
1, 4, 206, 151806, 0.255
1, 5, 185, 29287, 0.222
1, 6, 255, 17371, 0.17
1, 7, 252, 53254, 0.412
1, 8, 252, 488, 0.412
1, 9, 218, 31137, 0.267
1, 10, 247, 33191, 0.076
1, 11, 247, 377, 0.076
1, 12, 247, 484, 0.076
1, 13, 247, 287, 0.076
1, 14, 247, 365, 0.076
1, 15, 247, 450, 0.076
