quad,detID,pixID,count,frac_counts
3, 0, 129, 43033, 0.455
3, 1, 4, 14750, 0.187
3, 2, 249, 41364, 0.189
3, 3, 12, 67941, 0.557
3, 4, 247, 25207, 0.139
3, 5, 173, 22070, 0.26
3, 6, 173, 67, 0.26
3, 7, 204, 18235, 0.00393
3, 8, 208, 5295, 0.0165
3, 9, 208, 132, 0.0165
3, 10, 208, 227, 0.0165
3, 11, 161, 89725, 0.657
3, 12, 191, 16304, 0.0285
3, 13, 191, 261, 0.0285
3, 14, 211, 10018, 0.0104
3, 15, 185, 2307493, 0.404
